Num Qubits,Time,Step,Ops Index,Training Accuracy,Validation Accuracy
6,0.9,5,2,1.0,0.8305084745762712
6,0.9,5,2,1.0,0.7727272727272727
6,0.9,10,0,0.9957567185289957,0.8305084745762712
6,0.9,10,0,0.9943422913719944,0.7909604519774012
6,0.9,10,0,0.9957567185289957,0.8135593220338984
6,0.9,10,0,0.9943422913719944,0.7740112994350282
6,0.9,10,0,0.9943502824858758,0.7840909090909091
6,0.9,10,1,0.9971711456859972,0.7966101694915254
6,0.9,10,1,0.9985855728429985,0.7627118644067796
6,0.9,10,1,0.9985855728429985,0.8531073446327684
6,0.9,10,1,0.9985855728429985,0.807909604519774
6,0.9,10,1,0.998587570621469,0.7954545454545454
6,0.9,10,2,0.9985855728429985,0.8305084745762712
6,0.9,10,2,0.9985855728429985,0.7288135593220338
6,0.9,10,2,0.9957567185289957,0.8757062146892656
6,0.9,10,2,1.0,0.8135593220338984
6,0.9,10,2,0.998587570621469,0.8238636363636364
6,0.9,20,0,0.9971711456859972,0.8305084745762712
6,0.9,20,0,0.9971711456859972,0.7853107344632768
6,0.9,20,0,0.9943422913719944,0.8305084745762712
6,0.9,20,0,0.9971711456859972,0.7796610169491526
6,0.9,20,0,0.9957627118644068,0.7897727272727273
6,0.9,20,1,1.0,0.8022598870056498
6,0.9,20,1,0.9957567185289957,0.7740112994350282
6,0.9,20,1,0.9985855728429985,0.8757062146892656
6,0.9,20,1,0.9971711456859972,0.8135593220338984
6,0.9,20,1,0.9957627118644068,0.7897727272727273
6,0.9,20,2,0.9957567185289957,0.8361581920903954
6,0.9,20,2,0.9985855728429985,0.7457627118644068
6,0.9,20,2,0.9971711456859972,0.8870056497175142
6,0.9,20,2,0.9985855728429985,0.8022598870056498
6,0.9,20,2,0.9971751412429378,0.8409090909090909
6,1.0,1,0,0.9971711456859972,0.6045197740112994
6,1.0,1,0,0.9985855728429985,0.615819209039548
6,1.0,1,0,0.9957567185289957,0.5875706214689266
6,1.0,1,0,0.9943422913719944,0.7005649717514124
6,1.0,1,0,0.9957627118644068,0.6136363636363636
6,1.0,1,1,0.9985855728429985,0.5988700564971752
6,1.0,1,1,0.9929278642149929,0.576271186440678
6,1.0,1,1,0.9957567185289957,0.6610169491525424
6,1.0,1,1,0.9957567185289957,0.5706214689265536
6,1.0,1,1,0.9915254237288136,0.6193181818181818
6,1.0,1,2,0.9971711456859972,0.6892655367231638
6,1.0,1,2,1.0,0.655367231638418
6,1.0,1,2,0.9900990099009901,0.7062146892655368
6,1.0,1,2,0.9957567185289957,0.576271186440678
6,1.0,1,2,1.0,0.5909090909090909
6,1.0,5,0,0.9985855728429985,0.8361581920903954
6,1.0,5,0,1.0,0.7627118644067796
6,1.0,5,0,1.0,0.8022598870056498
6,1.0,5,0,1.0,0.7853107344632768
6,1.0,5,0,0.9971751412429378,0.6931818181818182
6,1.0,5,1,0.9957567185289957,0.7740112994350282
6,1.0,5,1,0.9971711456859972,0.751412429378531
6,1.0,5,1,0.9943422913719944,0.8587570621468926
6,1.0,5,1,0.9929278642149929,0.7457627118644068
6,1.0,5,1,0.9943502824858758,0.7784090909090909
6,1.0,5,2,0.9971711456859972,0.807909604519774
6,1.0,5,2,0.9971711456859972,0.7344632768361582
6,1.0,5,2,0.9957567185289957,0.807909604519774
6,1.0,5,2,0.9985855728429985,0.751412429378531
6,1.0,5,2,1.0,0.7329545454545454
6,1.0,10,0,0.9957567185289957,0.807909604519774
6,1.0,10,0,0.9957567185289957,0.7909604519774012
6,1.0,10,0,0.9957567185289957,0.8192090395480226
6,1.0,10,0,0.9957567185289957,0.7627118644067796
6,1.0,10,0,0.9971751412429378,0.6988636363636364
6,1.0,10,1,0.9957567185289957,0.8248587570621468
6,1.0,10,1,0.9957567185289957,0.7457627118644068
6,1.0,10,1,0.9943422913719944,0.8305084745762712
6,1.0,10,1,0.9929278642149929,0.751412429378531
6,1.0,10,1,0.9957627118644068,0.7670454545454546
6,1.0,10,2,0.9985855728429985,0.807909604519774
6,1.0,10,2,1.0,0.7288135593220338
6,1.0,10,2,0.9985855728429985,0.8361581920903954
6,1.0,10,2,0.9957567185289957,0.7740112994350282
6,1.0,10,2,0.9971751412429378,0.8465909090909091
6,1.0,20,0,0.9971711456859972,0.7853107344632768
6,1.0,20,0,0.9943422913719944,0.7740112994350282
6,1.0,20,0,0.9985855728429985,0.8135593220338984
6,1.0,20,0,1.0,0.7627118644067796
6,1.0,20,0,0.9943502824858758,0.7386363636363636
6,1.0,20,1,0.9971711456859972,0.807909604519774
6,1.0,20,1,0.9943422913719944,0.7627118644067796
6,1.0,20,1,0.9971711456859972,0.8192090395480226
6,1.0,20,1,0.9957567185289957,0.7627118644067796
6,1.0,20,1,0.9943502824858758,0.75
6,1.0,20,2,0.9985855728429985,0.7740112994350282
6,1.0,20,2,1.0,0.768361581920904
6,1.0,20,2,0.9985855728429985,0.847457627118644
6,1.0,20,2,0.9929278642149929,0.7909604519774012
6,1.0,20,2,0.998587570621469,0.8181818181818182
